timestamp,euler heading,euler roll,euler pitch,Quaternion x,Quaternion y,Quaternion z,Quaternion w,Magnetometro x,Magnetometro y,Magnetometro z,Giroscopio x,Giroscopio y,Giroscopio z,Acelerometro x,Acelerometro y,Acelerometro z,Aceleracion linealx,Aceleracion linealy,Aceleracion linealz,Aceleracion gravedadx,Aceleracion gravedady,Aceleracion gravedadz
1553627969.200993,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,48.875,-54.0625,-43.5,-0.0044444444444444444,-0.0033333333333333335,0.0022222222222222222,-2.81,-0.11,9.17,0.05,0.0,-0.2,-2.87,-0.1,9.37
1553627969.2398055,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,48.5625,-54.75,-43.5,-0.0022222222222222222,0.0033333333333333335,0.0011111111111111111,-2.83,-0.11,9.17,0.03,0.0,-0.2,-2.87,-0.1,9.37
1553627969.2773,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-54.0625,-43.0625,-0.0022222222222222222,-0.0022222222222222222,-0.0022222222222222222,-2.79,-0.11,9.17,0.07,0.0,-0.2,-2.87,-0.1,9.37
1553627969.3173351,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-54.0625,-43.0625,-0.0011111111111111111,-0.0022222222222222222,0.0,-2.81,-0.1,9.19,0.06,0.0,-0.18,-2.87,-0.1,9.37
1553627969.3575273,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-53.75,-42.6875,0.0011111111111111111,-0.0044444444444444444,0.0011111111111111111,-2.82,-0.12,9.17,0.07,0.0,-0.2,-2.87,-0.1,9.37
1553627969.3975096,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,48.1875,-55.1875,-43.875,-0.0011111111111111111,0.0,0.0,-2.79,-0.11,9.16,0.05,0.0,-0.21,-2.87,-0.1,9.37
1553627969.431193,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.0625,-55.1875,-43.5,-0.0011111111111111111,-0.0022222222222222222,-0.0011111111111111111,-2.8,-0.11,9.19,0.06,0.01,-0.21,-2.87,-0.1,9.37
1553627969.4717033,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.0625,-55.1875,-43.5,0.0011111111111111111,-0.0011111111111111111,-0.0011111111111111111,-2.82,-0.1,9.19,0.05,-0.01,-0.19,-2.87,-0.1,9.37
1553627969.5114837,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-54.5,-43.5,0.0,-0.0022222222222222222,0.0011111111111111111,-2.8,-0.1,9.19,0.06,0.0,-0.21,-2.87,-0.1,9.37
1553627969.5516007,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.75,-54.0625,-43.5,0.0,-0.0033333333333333335,0.0011111111111111111,-2.82,-0.11,9.18,0.05,0.0,-0.19,-2.87,-0.1,9.37
1553627969.5906732,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-55.1875,-42.6875,0.0,0.0,0.0022222222222222222,-2.8,-0.11,9.17,0.06,0.0,-0.2,-2.87,-0.1,9.37
1553627969.6281505,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-53.75,-44.25,0.0011111111111111111,-0.0033333333333333335,0.0,-2.82,-0.12,9.18,0.05,-0.01,-0.19,-2.87,-0.1,9.37
1553627969.6679957,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-53.75,-44.25,-0.0011111111111111111,0.0,0.0022222222222222222,-2.82,-0.09,9.18,0.08,-0.01,-0.19,-2.87,-0.1,9.37
